Index,cluster_cnn,index,cluster_manual
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00561/,0,256,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01263/,0,60,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00640/,0,161,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00507/,0,105,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00074/,0,127,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00608/,0,278,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01472/,0,4,1
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01033/,0,64,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01660/,0,163,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01643/,0,235,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01139/,0,144,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01165/,0,363,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01545/,0,20,1
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00133/,0,207,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00404/,0,15,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00036/,0,260,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01460/,0,57,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01424/,0,124,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01360/,0,119,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00468/,0,203,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00019/,0,158,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00657/,0,229,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00739/,0,365,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00143/,0,72,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01296/,0,4,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00451/,0,55,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01653/,0,175,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00570/,0,203,1
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01150/,0,139,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01596/,0,165,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01585/,0,118,1
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01254/,0,128,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01419/,0,11,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00599/,0,22,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01550/,0,39,1
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01185/,0,0,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00532/,0,39,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01126/,0,213,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00516/,0,102,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01415/,0,6,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01632/,0,209,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00207/,0,102,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00502/,0,372,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01531/,0,259,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00150/,0,52,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00703/,0,252,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00132/,0,71,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01172/,0,208,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01030/,0,173,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00064/,0,246,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00051/,0,78,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00056/,0,65,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01056/,0,149,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00552/,0,289,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00405/,0,203,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00260/,0,210,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01639/,0,197,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01297/,0,50,1
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00692/,0,405,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01072/,0,48,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01028/,0,114,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01155/,0,188,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01618/,0,96,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00677/,0,195,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01589/,0,267,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00454/,0,112,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00032/,0,250,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01562/,0,10,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01189/,0,7,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01003/,0,29,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01143/,0,334,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00366/,0,99,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00683/,0,256,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01359/,0,143,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01177/,0,166,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01540/,0,92,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00060/,0,352,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01161/,0,249,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01493/,0,28,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01191/,0,21,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00686/,0,293,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00736/,0,250,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01635/,0,84,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01012/,0,78,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01412/,0,8,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01104/,0,180,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01587/,0,192,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01194/,0,132,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00676/,0,48,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00103/,0,341,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01612/,0,38,1
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00628/,0,160,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00049/,0,200,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00000/,0,219,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01266/,0,58,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01209/,0,69,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01574/,0,57,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00612/,0,95,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01142/,0,253,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01267/,0,17,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00601/,0,144,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00768/,0,221,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01603/,0,222,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00760/,0,292,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01650/,0,101,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00734/,0,353,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01286/,0,154,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01302/,0,51,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01246/,0,64,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00052/,0,79,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00514/,0,222,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01153/,0,236,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01418/,0,96,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00764/,0,263,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01607/,0,248,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00196/,0,185,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01114/,0,49,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00020/,0,241,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00026/,0,221,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00087/,0,24,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00742/,0,187,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00808/,0,47,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01174/,0,284,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00559/,0,109,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00238/,0,107,1
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00022/,0,140,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00803/,0,82,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01156/,0,133,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00568/,0,343,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01181/,0,54,1
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00217/,0,108,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01141/,0,138,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01070/,0,264,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00053/,0,401,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00652/,0,35,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00310/,0,166,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00623/,0,270,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01178/,0,160,1
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01467/,0,307,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00539/,0,176,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01501/,0,83,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00622/,0,201,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01427/,0,80,1
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01543/,0,100,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00537/,0,199,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01115/,0,137,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00807/,0,74,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00059/,0,87,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01311/,0,27,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00513/,0,160,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01111/,0,117,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01537/,0,16,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01655/,0,40,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01321/,0,208,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01552/,0,269,0
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01245/,0,33,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00645/,0,253,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00774/,0,243,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01221/,0,159,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00583/,0,116,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00185/,0,393,2
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_01462/,0,101,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TestData/BraTS2021_01571/,0,122,3
/scratch/a.bip5/BraTS 2021/BraTS21_data/RSNA_ASNR_MICCAI_BraTS2021_TrainingData/BraTS2021_00526/,0,371,2
